Column1;BaWü$FID;BaWü$RS;BaWü$AGS;BaWü$SDV_RS;BaWü$GEN;BaWü$BEZ;BaWü$IBZ;BaWü$BEM;BaWü$SN_L;BaWü$EWZ;Sparkasse;Indikator;Kürzel;Zinsüberschuss;Provisionsüberschuss;Sonstige Erträge;Ertragsposition;Personalaufwand;Andere Verwaltungsaufwand;Sonstige Aufwendungen;Aufwandsposition;Jahresüberschuss vor Steuern;Ergebnis der normalen Geschäftstätigkeit;Bilanzsumme
634;5848;83170151151;8317151;83170151151;Neuried;Gemeinde;62;--;8;9699;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
635;5849;83170153153;8317153;83170153153;Rheinau;Stadt;61;--;8;11289;Sparkasse Hanauerland;26;SK HAN;0,009085762;0,006567679;0,001947819;0,017601261;0,009014865;0,004690258;0,000126605;0,013831729;0,000473694;0,000585418;1462018226
636;5850;83175001001;8317001;83175001001;Achern;Stadt;63;gemeinschaftsangehörig;8;25445;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
637;5851;83175001068;8317068;83175001068;Lauf;Gemeinde;64;gemeinschaftsangehörig;8;3956;Sparkasse Bühl;23;SK BÜHL;0,012133338;0,006189836;0,00274253;0,021065703;0,00934151;0,005277821;0,001628382;0,016247713;0,00055756;0,000836925;1041151660
638;5852;83175001116;8317116;83175001116;Sasbach;Gemeinde;64;gemeinschaftsangehörig;8;5305;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
639;5853;83175001118;8317118;83175001118;Sasbachwalden;Gemeinde;64;gemeinschaftsangehörig;8;2513;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
640;5854;83175002026;8317026;83175002026;Ettenheim;Stadt;63;gemeinschaftsangehörig;8;13008;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
641;5855;83175002073;8317073;83175002073;Mahlberg;Stadt;63;gemeinschaftsangehörig;8;5043;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
642;5856;83175002113;8317113;83175002113;Ringsheim;Gemeinde;64;gemeinschaftsangehörig;8;2347;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
643;5857;83175002114;8317114;83175002114;Rust;Gemeinde;64;gemeinschaftsangehörig;8;4187;Sparkasse Offenburg/Ortenau;38;SK Off;0,012338631;0,006336421;0,003532663;0,022207715;0,009090278;0,004474747;0,001201943;0,014766968;0,002239384;0,003909168;4722814040
